id_assinatura,plano,Unidade,cupom,data_criacao_assinatura,data_vencimento_assinatura,Assinatura_ativa
0055B812D31945B4896D8612FA49F5EE,Escritorio Virtual - Plano Mensal - Recife,Recife,CP-B4570C | Desconto cliente - Contabilizei,2022-11-24,2022-12-24,FALSE
009B009E09724802B7ADC1BE05CC969A,Escritorio Virtual - Plano Mensal - Berrini 2,Berrini 2,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2023-09-01,2023-09-01,FALSE
00E2706DDB7D4F079ED58FA119728E48,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2022-04-27,2022-09-27,FALSE
01349C7B92D54CEAB54E35B4EF5CA9D4,Escritorio Virtual - Plano Mensal - Recife,Recife,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2022-04-27,2022-09-27,FALSE
01588EDCF37E4B83B42F1EA94BF30C40,Escritorio Virtual - Plano Mensal - Berrini 2,Berrini 2,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2023-09-01,2023-11-01,TRUE
016784994CF9437CB45AA430515339FF,Escritorio Virtual - Plano Mensal - Faria Lima,Faria Lima,CP-B4570C | Desconto cliente - Contabilizei,2022-06-09,2023-01-09,FALSE
0180B4A7842349509718138BDDD16257,Escritorio Virtual - Plano Mensal - Alphaville,Alphaville,CP-B4570C | Desconto cliente - Contabilizei,2022-03-03,2023-07-03,FALSE
019C677CACBD4668B357EA2579FE46CA,Escritorio Virtual - Plano Mensal - Recife,Recife,CP-B4570C | Desconto cliente - Contabilizei,2022-03-08,2022-11-20,FALSE
01A930111AF3470CA644ADB53F0AE891,Escritorio Virtual - Plano Mensal - Fortaleza,Fortaleza,CP-B4570C | Desconto cliente - Contabilizei,2023-01-02,2023-02-02,FALSE
01E2D5D97F214A3BB1E567D216578675,Escritorio Virtual - Plano Mensal - Goiania,Goiânia,CP-DE14F0 | Desconto cliente - CAVEO TECNOLOGIA LTDA,2023-07-13,2023-07-13,FALSE
01ED37892575414DA601996E7D0B3CC2,Escritorio Virtual - Plano Mensal - Florianopolis,Florianópolis,CP-23C506 | Desconto cliente - Agilize,2023-04-25,2023-09-25,FALSE
02089F95DDCA4CB08D54FF35705DFD09,Escritorio Virtual - Plano Mensal - Recife,Recife,CP-B4570C | Desconto cliente - Contabilizei,2023-07-19,2023-07-19,FALSE
02162821AD8C414EAA405A0D31F46A5F,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-B4570C | Desconto cliente - Contabilizei,2022-08-02,2023-12-02,TRUE
025E9296EF884266ADE861EC9F219D4F,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-B4570C | Desconto cliente - Contabilizei,2023-09-01,2023-09-01,FALSE
028CBF0B0025450D99AE01D5F26F74C8,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-018355 | Desconto cliente - ADONWEB BRASIL - MARKETING DE REDE LTDA,2023-09-06,2023-12-06,TRUE
029AB95C7E1D4CD0A18DE6608C87ACF0,Escritorio Virtual - Plano Mensal - Campinas,Campinas,CP-B4570C | Desconto cliente - Contabilizei,2022-08-03,2023-08-03,FALSE
02AEEDBF27AE4F83B2E23135181EAC7A,Escritorio Virtual - Plano Mensal - Curitiba,Curitiba,CP-0AA74F | Desconto cliente - Noce Contabilidade,2022-10-25,2022-11-25,FALSE
02D1E6E0852C4244AD7CA9205E5C0C50,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-B4570C | Desconto cliente - Contabilizei,2023-05-15,2023-05-15,FALSE
0347CB8D2A67403AB13D07AD358B2A17,Escritorio Virtual - Plano Mensal - Curitiba,Curitiba,CP-B4570C | Desconto cliente - Contabilizei,2022-01-28,2023-07-28,FALSE
036E8DBF224F41B5A9C8C456056AC5E2,Escritorio Virtual - Plano Mensal - Salvador,Salvador,CP-B4570C | Desconto cliente - Contabilizei,2022-04-06,2022-10-06,FALSE
03F53EFAA52849A7B557207973102CED,Escritorio Virtual - Plano Mensal - Goiania,Goiânia,CP-23C506 | Desconto cliente - Agilize,2023-06-14,2023-06-14,FALSE
041F8A25F1AA4FB9AF3E0974EB22E2BE,Escritorio Virtual - Plano Mensal - Belo Horizonte,Belo Horizonte,CP-B4570C | Desconto cliente - Contabilizei,2022-08-30,2022-09-30,FALSE
0443016121DB49E1B47953E2BF782086,Escritorio Virtual - Plano Mensal - Rio de Janeiro 2,Rio de Janeiro 2,CP-B4570C | Desconto cliente - Contabilizei,2022-05-30,2023-07-28,FALSE
0454A0E73CF249198B22CFC8099CAAB6,Escritorio Virtual - Plano Mensal - Faria Lima 2,Faria Lima 2,CP-6FE19F | Desconto cliente - GS CONTADORES ASSOCIADOS LTDA,2023-08-11,2023-11-11,TRUE
045BC79B3E1541E6994FCD8DC78CD531,Escritorio Virtual - Plano Mensal - Campinas	- Boleto,Campinas,CP-B4570C | Desconto cliente - Contabilizei,2022-08-11,2023-11-14,TRUE
0475F84BF95747FF8FABC72BDCBF280E,Escritorio Virtual - Plano Mensal - Fortaleza,Fortaleza,CP-B4570C | Desconto cliente - Contabilizei,2022-04-07,2022-09-07,FALSE
05202DE02E7643AA92C22653694AB905,Escritorio Virtual - Plano Mensal - Belo Horizonte,Belo Horizonte,CP-B4570C | Desconto cliente - Contabilizei,2023-05-19,2023-05-19,FALSE
053FDD0E199149668D0EB784D2AF6E95,Escritorio Virtual - Plano Mensal - Alphaville,Alphaville,CP-80E264 | Desconto cliente - LACERDA E CURVO CONTABILIDADE,2023-07-11,2023-07-11,FALSE
054878CD71F5478198C44F8E8DA5AC0A,Escritorio Virtual - Plano Mensal - Faria Lima,Faria Lima,CP-B4570C | Desconto cliente - Contabilizei,2022-02-28,2023-05-28,FALSE
058445A019D24CD2A08C728BE3A0029A,Escritorio Virtual - Plano Mensal - Av Paulista 1636,Paulista 2,CP-79D475 | Desconto cliente - CONTA MEDICA CONTABILIDADE E FINANCAS LTDA,2023-01-11,2023-08-11,FALSE
05A7C26E2FA14527B0E7437D45AA1114,Escritorio Virtual - Plano Mensal - Florianopolis,Florianópolis,CP-B4570C | Desconto cliente - Contabilizei,2023-04-10,2023-05-10,FALSE
06C628BFF75C4612A93FEFC4BC7EFD3B,Escritorio Virtual - Plano Mensal - Belo Horizonte,Belo Horizonte,CP-B4570C | Desconto cliente - Contabilizei,2022-11-01,2023-12-01,TRUE
06C90915774B477AAE29E2E649E20290,Escritorio Virtual - Plano Mensal - Tatuape,Tatuapé,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2022-06-08,2023-02-08,FALSE
070AD16CB59E442B996586061CCEB296,Escritorio Virtual - Plano Mensal - Faria Lima,Faria Lima,CP-B4570C | Desconto cliente - Contabilizei,2022-02-21,2022-04-21,FALSE
071427A3C6D94A819F4F4D7F593C5DA8,Escritorio Virtual - Plano Mensal - Rio de Janeiro 2,Rio de Janeiro 2,CP-9FE715 | Desconto cliente - Nuvem Contabil,2022-01-07,2023-04-07,FALSE
075E6C14C76C477389849F83A8BBA109,Escritorio Virtual - Plano Mensal - Av Paulista 1636,Paulista 2,CP-B4570C | Desconto cliente - Contabilizei,2022-02-15,2023-05-15,FALSE
075EA77C77B245368361A7758DE059AA,Escritorio Virtual - Plano Mensal - Curitiba,Curitiba,CP-B4570C | Desconto cliente - Contabilizei,2023-05-17,2023-11-17,TRUE
078058BB5F594B81AD277C3991283D14,Endereco Comercial - Endereco Comercial - Plano Mensal,EV Comercial,CP-B4570C | Desconto cliente - Contabilizei,2023-06-12,2023-06-12,FALSE
0780C9E6C8564F4382CD6172B8C40740,Escritorio Virtual - Plano Mensal - Rio de Janeiro 2,Rio de Janeiro 2,CP-E9FF6A | Desconto 10% - CLIENTEHERO10,2022-06-01,2022-12-01,FALSE
07F2E6EDD0F346F69220463590CE333A,Escritorio Virtual - Plano Mensal - Rio de Janeiro 2,Rio de Janeiro 2,CP-B4570C | Desconto cliente - Contabilizei,2022-02-23,2022-04-23,FALSE
07FF1DB294384170B3A6212396B828BA,Escritorio Virtual - Plano Mensal - Recife,Recife,CP-B4570C | Desconto cliente - Contabilizei,2022-02-15,2023-11-15,TRUE
0899E448DE5C4A9AB5026114154C67E4,Escritorio Virtual - Plano Mensal - Rio de Janeiro 2,Rio de Janeiro 2,CP-0AA74F | Desconto cliente - Noce Contabilidade,2023-04-26,2023-08-26,FALSE
